                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.4494,                 1.0402,                 1.0009,                0.98415,                0.91667,                0.98885,                0.61413,                 1.4162,                0.73705,                0.91458,              0.0013822,              0.0013822,              0.0013822
                     80,                  1.733,                 1.3045,                 1.0377,                      1,                0.98948,                  0.995,                0.57091,                 1.4981,                0.74142,                0.93143,              0.0013743,              0.0013743,              0.0013743
                     81,                 1.5662,                0.99415,                0.99027,                      1,                0.99247,                  0.995,                0.58503,                 1.5234,                0.72699,                0.93559,              0.0013664,              0.0013664,              0.0013664
                     82,                 1.2667,                 1.5602,                0.77782,                      1,                0.99223,                  0.995,                0.62412,                 1.4495,                 0.7083,                0.90532,              0.0013585,              0.0013585,              0.0013585
                     83,                 1.4925,                 1.0266,                 0.9236,                      1,                0.99246,                  0.995,                0.57826,                 1.4562,                0.73641,                0.91939,              0.0013506,              0.0013506,              0.0013506
                     84,                 1.6583,                 1.0616,                 1.0193,                      1,                0.99795,                  0.995,                0.52054,                 1.5949,                0.80348,                0.96335,              0.0013426,              0.0013426,              0.0013426
                     85,                 1.5609,                0.96627,                 1.0043,                      1,                0.98964,                  0.995,                0.54133,                 1.6688,                0.82322,                0.98219,              0.0013347,              0.0013347,              0.0013347
                     86,                   1.54,                0.98019,                0.99665,                      1,                0.97262,                  0.995,                0.48943,                 1.6892,                0.86233,                0.97438,              0.0013268,              0.0013268,              0.0013268
                     87,                 1.4049,                0.96786,                0.94175,                0.94388,                0.91667,                0.98885,                 0.5034,                 1.6621,                0.95845,                0.96254,              0.0013189,              0.0013189,              0.0013189
                     88,                 1.2528,                0.97437,                0.88476,                0.97957,                0.91667,                0.98885,                0.54998,                 1.5513,                0.93542,                 0.9491,               0.001311,               0.001311,               0.001311
                     89,                 1.4918,                 1.0894,                 1.0125,                0.99098,                0.91667,                0.98357,                0.56222,                 1.4508,                0.82442,                0.92192,               0.001303,               0.001303,               0.001303
                     90,                  1.546,                 1.0391,                0.96831,                  0.997,                0.91667,                0.98885,                0.58426,                 1.3973,                0.76731,                0.90428,              0.0012951,              0.0012951,              0.0012951
